goodsNo,goodsName,brandName,layer,collect_rank,review_count,grade_mean,text_len_mean,photo_rate,like_mean,top_proba_mean,spread_score,sticky_score,irritate_score,first_review_rate,price,saleRate,reviewScore
3083740,UV쉴드 에센셜 톤업 50ml,아이오페,B_oliveyoung_cross,224,114,4.842105263157895,45.70175438596491,0.5350877192982456,0.008771929824561403,0.5431503597057767,3.1403508771929824,3.1052631578947367,3.1403508771929824,0.8333333333333334,32300,15,98
3083772,UV 쉴드 선 프로텍터 50ml SPF50+/PA++++,아이오페,B_oliveyoung_cross,160,167,4.820359281437126,40.88622754491018,0.5089820359281437,0.017964071856287425,0.5223697635365198,3.1497005988023954,3.07185628742515,3.1317365269461077,0.8203592814371258,32300,15,96
3094725,브라이트닝 업 모이스처 선 50mL,닥터지,C_potential,284,81,4.91358024691358,49.50617283950617,0.4691358024691358,0.07407407407407407,0.4970454166096162,3.1481481481481484,3.074074074074074,3.0987654320987654,0.9629629629629629,19850,38,98
3163057,바이탈 비타 12 보송 선스틱,토니모리,C_potential,300,114,4.824561403508772,52.771929824561404,0.42105263157894735,0.02631578947368421,0.5167324292565627,3.043859649122807,3.0350877192982457,3.0350877192982457,0.9473684210526315,14400,20,96
3165162,데일리 선크림 50ml 2개,바세린,C_potential,574,74,4.783783783783784,43.472972972972975,0.4189189189189189,0.02702702702702703,0.5020822076071216,3.054054054054054,3.054054054054054,3.054054054054054,0.9594594594594594,16200,42,96
3177639,블루 수분 선크림 50ml SPF 50 PA++++,비레디,B_oliveyoung_cross,51,1000,4.916,41.595,0.382,0.03,0.4900016092494183,3.037,3.028,3.032,0.942,21250,15,98
3190598,UV쉴드 선크림 50ml 남자선크림 2개입,미프,B_oliveyoung_cross,912,3,5.0,32.666666666666664,0.3333333333333333,0.0,0.5222370248503526,3.0,3.0,3.0,1.0,27900,37,100
3198635,맑은 어성초 진정 무기자차 선크림 (24AD) 50ml,구달,C_potential,208,500,4.842,46.114,0.516,0.042,0.48310231220553324,3.194,3.116,3.14,0.822,19800,10,96
3198642,맑은 어성초 진정 쿨링 선스틱 19g,구달,C_potential,317,138,4.811594202898551,54.21739130434783,0.43478260869565216,0.08695652173913043,0.5045684237640367,3.0144927536231885,3.0144927536231885,3.0,0.9492753623188406,19800,10,96
3262527,인텐시브 롱래스팅 선스크린 EX SPF 50+ PA4+ 60mL,이니스프리,C_potential,437,45,4.977777777777778,35.75555555555555,0.4888888888888889,0.022222222222222223,0.5315041224834705,3.088888888888889,3.088888888888889,3.088888888888889,0.8444444444444444,16800,30,100
